,metric,region,scen,seas,tslice,value
303,CDD,KARIMNAGAR,RCP45,JJAS,2061-2090,0.0
304,CDD,KARIMNAGAR,RCP45,ON,2021-2050,-14.0
305,CDD,KARIMNAGAR,RCP45,ON,2061-2090,-25.5
306,CDD,KARIMNAGAR,RCP45,DJF,2021-2050,-4.5
307,CDD,KARIMNAGAR,RCP45,DJF,2061-2090,-2.5
308,CDD,KARIMNAGAR,RCP45,MAM,2021-2050,-9.0
309,CDD,KARIMNAGAR,RCP45,MAM,2061-2090,-7.0
310,CDD,KARIMNAGAR,RCP85,Annual,2021-2050,-47.5
311,CDD,KARIMNAGAR,RCP85,Annual,2061-2090,-54.0
312,CDD,KARIMNAGAR,RCP85,JJAS,2021-2050,0.0
313,CDD,KARIMNAGAR,RCP85,JJAS,2061-2090,0.0
314,CDD,KARIMNAGAR,RCP85,ON,2021-2050,-24.5
315,CDD,KARIMNAGAR,RCP85,ON,2061-2090,-32.0
316,CDD,KARIMNAGAR,RCP85,DJF,2021-2050,-6.5
317,CDD,KARIMNAGAR,RCP85,DJF,2061-2090,-14.0
318,CDD,KARIMNAGAR,RCP85,MAM,2021-2050,-15.0
319,CDD,KARIMNAGAR,RCP85,MAM,2061-2090,-12.5
320,CDD,KAGAZNAGAR,RCP45,Annual,2021-2050,-47.0
321,CDD,KAGAZNAGAR,RCP45,Annual,2061-2090,-34.0
322,CDD,KAGAZNAGAR,RCP45,JJAS,2021-2050,0.0
323,CDD,KAGAZNAGAR,RCP45,JJAS,2061-2090,0.0
324,CDD,KAGAZNAGAR,RCP45,ON,2021-2050,-18.0
325,CDD,KAGAZNAGAR,RCP45,ON,2061-2090,-27.0
326,CDD,KAGAZNAGAR,RCP45,DJF,2021-2050,-11.0
327,CDD,KAGAZNAGAR,RCP45,DJF,2061-2090,-6.0
328,CDD,KAGAZNAGAR,RCP45,MAM,2021-2050,-25.0
329,CDD,KAGAZNAGAR,RCP45,MAM,2061-2090,-9.0
330,CDD,KAGAZNAGAR,RCP85,Annual,2021-2050,-58.0
331,CDD,KAGAZNAGAR,RCP85,Annual,2061-2090,-61.0
332,CDD,KAGAZNAGAR,RCP85,JJAS,2021-2050,0.0
333,CDD,KAGAZNAGAR,RCP85,JJAS,2061-2090,0.0
334,CDD,KAGAZNAGAR,RCP85,ON,2021-2050,-28.0
335,CDD,KAGAZNAGAR,RCP85,ON,2061-2090,-31.0
336,CDD,KAGAZNAGAR,RCP85,DJF,2021-2050,-12.0
337,CDD,KAGAZNAGAR,RCP85,DJF,2061-2090,-19.0
338,CDD,KAGAZNAGAR,RCP85,MAM,2021-2050,-20.0
339,CDD,KAGAZNAGAR,RCP85,MAM,2061-2090,-21.0
340,CDD,JANGAON,RCP45,Annual,2021-2050,-25.0
341,CDD,JANGAON,RCP45,Annual,2061-2090,-27.0
342,CDD,JANGAON,RCP45,JJAS,2021-2050,0.0
